game	clip_id	filename	segment_role	place_in_game	source_title	source_url	video_id	owner_or_channel	licensing_status	start_time_sec	end_time_sec	duration_sec	what_happens	why_used	has_audio	other_factors	unlicensed_reason
Ant Explorer	01_queen	01_queen.ogv		Queen chamber — first discovery / star rail re-watch	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	8n0SkIGARuo	BBC (YouTube mirror)	YOUTUBE-STANDARD	2442	2478	36	Leafcutter queen close-up and egg-laying	Teaches queen role; good fit	yes	Original audio kept; no in-game attribution; BLOCKER for commercial APK	YouTube standard license — no redistribution rights for APK embed
Ant Explorer	02_larvae	02_larvae.ogv		Nursery — discovery / re-watch	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	8n0SkIGARuo	BBC	YOUTUBE-STANDARD	2648+2673+2713	2656+2680+2722	24	Three concatenated larva B-roll segments	Matches nursery star; good fit	yes	Multi-segment concat	YouTube standard license — no redistribution rights for APK embed
Ant Explorer	03_pupae	03_pupae.ogv		Pupa room — discovery / re-watch	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	98+141	113+150	24	Pupae close-up and caste size comparison	Matches pupae & castes; good fit	yes	Two-segment concat	YouTube standard license — no redistribution rights for APK embed
Ant Explorer	04_fungus	04_fungus.ogv		Fungus garden A — discovery / re-watch	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	48	78	30	Fungus garden cultivation imagery	Excellent visual fit	yes		YouTube standard license — no redistribution rights for APK embed
Ant Explorer	05_forage	05_forage.ogv		Outdoor surface — discovery / re-watch	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	20	50	30	Leaf cutting and foraging trails	Good fit	yes		YouTube standard license — no redistribution rights for APK embed
Ant Explorer	06_pheromone	06_pheromone.ogv		Entrance — discovery / re-watch	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	8n0SkIGARuo	BBC	YOUTUBE-STANDARD	3360	3400	40	Pheromone Y-trail scent experiment	Good fit	yes		YouTube standard license — no redistribution rights for APK embed
Ant Explorer	07_soldiers	07_soldiers.ogv		Soldier outpost — discovery / re-watch	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	8n0SkIGARuo	BBC	YOUTUBE-STANDARD	500	522	22	Soldier ant biting presenter hand	Good fit; review child-safety	yes		YouTube standard license — no redistribution rights for APK embed
Ant Explorer	08_waste	08_waste.ogv		Dump chamber — discovery / re-watch	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	8n0SkIGARuo	BBC	YOUTUBE-STANDARD	3120	3150	30	Refuse / waste-management imagery	POOR FIT: star VO/topic say fungus chambers; zone is dump	yes	Metadata/topic mismatch	YouTube standard license — no redistribution rights for APK embed
Ant Explorer	09_labor	09_labor.ogv		Garden B — discovery / re-watch	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	160	190	30	Workers slicing and carrying leaf pieces	Good fit	yes		YouTube standard license — no redistribution rights for APK embed
Ant Explorer	10_bacteria	10_bacteria.ogv		Hygiene room — discovery / re-watch	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	75	100	25	Fungus garden tending / hygiene	Reasonable fit; bacteria implicit	yes		YouTube standard license — no redistribution rights for APK embed
