asset_id	game	asset_class	path_or_filename	source_title	source_url	owner	license	h2_status	start_sec	end_sec	has_audio	notes
ant:01_queen:clip	Ant Explorer	video	01_queen.ogv	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	BBC (YouTube mirror)	YOUTUBE-STANDARD	BLOCKER	2442	2478	yes	Original audio kept; no in-game attribution; BLOCKER for commercial APK | Teaches queen role; good fit
ant:02_larvae:clip	Ant Explorer	video	02_larvae.ogv	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	BBC	YOUTUBE-STANDARD	BLOCKER	2648+2673+2713	2656+2680+2722	yes	Multi-segment concat | Matches nursery star; good fit
ant:03_pupae:clip	Ant Explorer	video	03_pupae.ogv	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	BLOCKER	98+141	113+150	yes	Two-segment concat | Matches pupae & castes; good fit
ant:04_fungus:clip	Ant Explorer	video	04_fungus.ogv	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	BLOCKER	48	78	yes	 | Excellent visual fit
ant:05_forage:clip	Ant Explorer	video	05_forage.ogv	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	BLOCKER	20	50	yes	 | Good fit
ant:06_pheromone:clip	Ant Explorer	video	06_pheromone.ogv	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	BBC	YOUTUBE-STANDARD	BLOCKER	3360	3400	yes	 | Good fit
ant:07_soldiers:clip	Ant Explorer	video	07_soldiers.ogv	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	BBC	YOUTUBE-STANDARD	BLOCKER	500	522	yes	 | Good fit; review child-safety
ant:08_waste:clip	Ant Explorer	video	08_waste.ogv	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	BBC	YOUTUBE-STANDARD	BLOCKER	3120	3150	yes	Metadata/topic mismatch | POOR FIT: star VO/topic say fungus chambers; zone is dump
ant:09_labor:clip	Ant Explorer	video	09_labor.ogv	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	BLOCKER	160	190	yes	 | Good fit
ant:10_bacteria:clip	Ant Explorer	video	10_bacteria.ogv	Where Are the Ants Carrying All Those Leaves? (Deep Look)	https://www.youtube.com/watch?v=-6oKJ5FGk24	Deep Look / KQED / PBS	YOUTUBE-STANDARD	BLOCKER	75	100	yes	 | Reasonable fit; bacteria implicit
ant:11_architecture:clip	Ant Explorer	video	11_architecture.ogv	My Dream Ant Farm: Leafcutter Ants (AntsCanada)	https://www.youtube.com/watch?v=VA_3ul0drnQ	AntsCanada (Frank Mortimer)	YOUTUBE-STANDARD	BLOCKER	120	155	yes	 | MODERATE FIT: VO says desert leafcutters; source is Insectarium Atta
ant:12_invaders:clip	Ant Explorer	video	12_invaders.ogv	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	BBC	YOUTUBE-STANDARD	BLOCKER	4490	4520	yes	 | Good fit; content-safety review
solar:sun:opener	Solar System Explorer	video	sun.ogv	NASA | Thermonuclear Art – The Sun In Ultra-HD (4K)	https://www.youtube.com/watch?v=6tmbeLTHC_0	NASA Goddard	NASA-PD-LIKELY	VERIFY	85	97	yes	Verify embedded music | Alive NASA opener
solar:sun:explainer	Solar System Explorer	video	sun.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe (@KnowtheWorld)	YOUTUBE-STANDARD	BLOCKER	8	62	yes	BLOCKER for redistribution; credit channel | Kid explainer; shared VectorGlobe source
solar:mercury:opener	Solar System Explorer	video	mercury.ogv	MESSENGER at Mercury	https://www.youtube.com/watch?v=ENwD31EDFjc	NASA Solar System	NASA-PD-LIKELY	VERIFY	95	107	yes	 | Real mission opener
solar:mercury:explainer	Solar System Explorer	video	mercury.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	89	145	yes	BLOCKER | Standard VectorGlobe beat
solar:venus:opener	Solar System Explorer	video	venus.ogv	Magellan: Venus False-Color Terrain	https://www.youtube.com/watch?v=yUrIzPRI4GE	NASA SVS	NASA-PD-LIKELY	VERIFY	6	18	yes	 | Real radar opener
solar:venus:explainer	Solar System Explorer	video	venus.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	145	199	yes	BLOCKER | Standard beat
solar:earth:opener	Solar System Explorer	video	earth.ogv	One Year on Earth – Seen From 1 Million Miles	https://www.youtube.com/watch?v=CFrP6QfbC2g	NASA Goddard	NASA-PD-LIKELY	VERIFY	10	22	yes	 | Iconic Earth opener
solar:earth:explainer	Solar System Explorer	video	earth.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	199	276	yes	BLOCKER | Longest VectorGlobe beat
solar:mars:opener	Solar System Explorer	video	mars.ogv	Mars in 4K: The Clearest Footage You Will Ever See	https://www.youtube.com/watch?v=Vy_RPd0rblI	ElderFox Documentaries	YOUTUBE-STANDARD	BLOCKER	5	17	yes	HIGH RISK BLOCKER | POOR FIT: labeled Perseverance but third-party aggregator not NASA
solar:mars:explainer	Solar System Explorer	video	mars.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	276	337	yes	BLOCKER | Standard beat
solar:asteroid_belt:explainer	Solar System Explorer	video	asteroid_belt.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	337	351	yes	BLOCKER | No opener; always chained
solar:ceres:mission	Solar System Explorer	video	ceres.ogv	Fly Over Dwarf Planet Ceres	https://www.youtube.com/watch?v=uSaLVAl-ObY	NASA JPL	NASA-PD-LIKELY	VERIFY	5	20	yes	 | Real mission; no VectorGlobe
solar:vesta:mission	Solar System Explorer	video	vesta.ogv	Video: Virtual flight over asteroid Vesta (HD)	https://www.dlr.de/en/media/publications/miscellaneous/2012/video-virtual-flight-over-asteroid-vesta-hd_490/@@download/file	DLR (German Aerospace Center)	DLR-COPYRIGHT	BLOCKER	78	93	yes	Not U.S. PD; verify DLR redistribution terms — treat as BLOCKER until cleared | Avoids German title cards
solar:psyche:mission	Solar System Explorer	video	psyche.ogv	JPL-20230929-PSYCHEf-0004-Hype	http://images-assets.nasa.gov/video/JPL-20230929-PSYCHEf-0004-Hype/JPL-20230929-PSYCHEf-0004-Hype~large.mp4	NASA/JPL	NASA-PD-LIKELY	VERIFY	3	13	yes	 | Happening-now story; mostly CGI
solar:jupiter:opener	Solar System Explorer	video	jupiter.ogv	Fly into the Great Red Spot with NASA's Juno	https://www.youtube.com/watch?v=uj3Lq7Gu94Y	NASA	NASA-PD-LIKELY	VERIFY	5	17	yes	 | Dramatic opener
solar:jupiter:explainer	Solar System Explorer	video	jupiter.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	351	419	yes	BLOCKER | Standard beat
solar:saturn:opener	Solar System Explorer	video	saturn.ogv	Cassini: The Wonder of Saturn	https://www.youtube.com/watch?v=htOoWJmYVtQ	NASA JPL	NASA-PD-LIKELY	VERIFY	28	40	yes	 | Good fit
solar:saturn:explainer	Solar System Explorer	video	saturn.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	419	487	yes	BLOCKER | Standard beat
solar:uranus:opener	Solar System Explorer	video	uranus.ogv	Voyager II... Encounter with Uranus	https://www.youtube.com/watch?v=1EWTku7Fr0Y	atwaterpub	YOUTUBE-STANDARD	BLOCKER	50	62	yes	HIGH RISK BLOCKER | POOR FIT: third-party repost not NASA channel
solar:uranus:explainer	Solar System Explorer	video	uranus.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	487	558	yes	BLOCKER | Standard beat
solar:neptune:opener	Solar System Explorer	video	neptune.ogv	Voyager II | Neptune Approach	https://www.youtube.com/watch?v=dthZsl9AkgA	Space9	YOUTUBE-STANDARD	BLOCKER	0	10	yes	HIGH RISK BLOCKER | POOR FIT: third-party; entire source consumed
solar:neptune:explainer	Solar System Explorer	video	neptune.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	558	630	yes	BLOCKER | Standard beat
solar:pluto:opener	Solar System Explorer	video	pluto.ogv	New Horizons Flyover of Pluto	https://www.youtube.com/watch?v=g1fPhhTT2Oo	NASA Video	NASA-PD-LIKELY	VERIFY	35	47	yes	 | Good fit
solar:pluto:explainer	Solar System Explorer	video	pluto.ogv	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	BLOCKER	630	657	yes	BLOCKER | Abrupt vs longer planet clips
garden:01_seeds:clip	Garden Explorer	video	01_seeds.ogv	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/01_seeds.png	Project / Sprout Lands-derived portraits	OWN	CLEAR	0	23.3	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': 'SciShow Kids — How Does A Seed Become A Plant?', 'bibliography_youtube_url': 'https://www.youtube.co
garden:02_soil:clip	Garden Explorer	video	02_soil.ogv	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/02_soil.png	Project / Sprout Lands-derived portraits	OWN	CLEAR	0	21.6	True	"{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': ""SciShow Kids — Let's Plant a Garden!"", 'bibliography_youtube_url': 'https://www.youtube.com/watch?v="
garden:03_planting:clip	Garden Explorer	video	03_planting.ogv	Garden cress timelapse.webm	https://commons.wikimedia.org/wiki/File:Garden_cress_timelapse.webm	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	18.2	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Ivan Inspects — Planting Seeds For Kids', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v
garden:04_watering:clip	Garden Explorer	video	04_watering.ogv	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/04_watering.png	Project / Sprout Lands-derived portraits	OWN	CLEAR	0	19.2	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': 'Goally — How to Water the Plants for Kids', 'bibliography_youtube_url': 'https://www.youtube.com/wat
garden:05_sprouting:clip	Garden Explorer	video	05_sprouting.ogv	Mung bean germination.ogv	https://commons.wikimedia.org/wiki/File:Mung_bean_germination.ogv	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	17.7	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'SciShow Kids — Watch a Seed Sprout!', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=-rJ
garden:06_sunlight:clip	Garden Explorer	video	06_sunlight.ogv	Heliotropism in Helianthus annuus.webm	https://commons.wikimedia.org/wiki/File:Heliotropism_in_Helianthus_annuus.webm	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	17.2	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Dr. Binocs — Photosynthesis', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=D1Ymc311XS8
garden:07_growing:clip	Garden Explorer	video	07_growing.ogv	Timelapse-Basil-growing.ogv	https://commons.wikimedia.org/wiki/File:Timelapse-Basil-growing.ogv	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	20.1	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Goodful — Seed growing time lapses', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=ECib
garden:08_weeding:clip	Garden Explorer	video	08_weeding.ogv	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/08_weeding.png	Project / Sprout Lands-derived portraits	OWN	CLEAR	0	17.7	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': 'Hand weeding techniques', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=kcibswxqncI',
garden:09_harvest:clip	Garden Explorer	video	09_harvest.ogv	Harvest (20181008-FPAC-KLS-0011).webm	https://commons.wikimedia.org/wiki/File:Harvest_(20181008-FPAC-KLS-0011).webm	Wikimedia Commons contributor	PD	CLEAR	0	16.3	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Ivan Inspects — Harvesting A Garden', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=Bd6
garden:10_seasons:clip	Garden Explorer	video	10_seasons.ogv	One Year. One Tree. One Drone.webm	https://commons.wikimedia.org/wiki/File:One_Year._One_Tree._One_Drone.webm	Wikimedia Commons contributor	CC-BY	CLEAR	0	18.1	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Scratch Garden — The Seasons Song', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=H32W-
garden:11_animals:clip	Garden Explorer	video	11_animals.ogv	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/11_animals.png	Project / Sprout Lands-derived portraits	OWN	CLEAR	0	17.5	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': 'Farm Animals for Kids', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=zFtMamMUAVw', '
garden:12_store:clip	Garden Explorer	video	12_store.ogv	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/12_store.png	Project / Sprout Lands-derived portraits	OWN	CLEAR	0	17.4	True	"{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': ""How we store ONE year's worth of Homegrown Food"", 'bibliography_youtube_url': 'https://www.youtube.c"
garden:intro:clip	Garden Explorer	video	intro.ogv	Recorded playthrough montage	docs/demo/garden_explorer_playthrough.mp4	OWN	OWN	CLEAR	0	62.6	True	{} | build_intro_explainer.py
garden:animal_chicken:clip	Garden Explorer	video	animal_chicken.ogv	Ken-Burns pan of in-game portrait/tile art	game/assets/portraits/animal_chicken_a.png	Project / Sprout Lands-derived portraits	OWN	CLEAR	0	19.0	True	{'footage_type': 'ken_burns'} | Animal education
garden:animal_rabbit:clip	Garden Explorer	video	animal_rabbit.ogv	Pet rabbit eating grass.webm	https://commons.wikimedia.org/wiki/File:Pet_rabbit_eating_grass.webm	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	20.1	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'} | Animal education
garden:animal_pig:clip	Garden Explorer	video	animal_pig.ogv	Pigs eating AppletonFarms Massachusetts 2024-10.webm	https://commons.wikimedia.org/wiki/File:Pigs_eating_AppletonFarms_Massachusetts_2024-10.webm	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	17.9	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'} | Animal education
garden:animal_cow:clip	Garden Explorer	video	animal_cow.ogv	Cow grazing in the farm.webm	https://commons.wikimedia.org/wiki/File:Cow_grazing_in_the_farm.webm	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	20.7	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'} | Animal education
garden:animal_dog:clip	Garden Explorer	video	animal_dog.ogv	Ken-Burns pan of in-game portrait/tile art	game/assets/portraits/animal_dog.png	Project / Sprout Lands-derived portraits	OWN	CLEAR	0	16.2	True	{'footage_type': 'ken_burns'} | Animal education
garden:coop_eggs:clip	Garden Explorer	video	coop_eggs.ogv	coop_eggs.mp4	tools/media_src/footage/coop_eggs.mp4	Undocumented local footage	BLOCKER	BLOCKER	0	19.8	True	{'undocumented_source': 'coop_eggs.mp4'} | Egg collection lesson
garden:bug_ladybug:clip	Garden Explorer	video	bug_ladybug.ogv	2022-06-02 LJUBLJANA Karlovško predmestje COCCINELLIDAE Cucujoidea PIKAPOLONICA.webm	https://commons.wikimedia.org/wiki/File:2022-06-02_LJUBLJANA_Karlovško_predmestje_COCCINELLIDAE_Cucujoidea_PIKAPOLONICA.webm	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	18.5	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'} | Bug education
garden:bug_rolly_polly:clip	Garden Explorer	video	bug_rolly_polly.ogv	Pill woodlouse (Armadillidium vulgare).webm	https://commons.wikimedia.org/wiki/File:Pill_woodlouse_(Armadillidium_vulgare).webm	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	19.5	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'} | Bug education
garden:bug_earthworm:clip	Garden Explorer	video	bug_earthworm.ogv	Ver qui s'enfouit cropped.webm	https://commons.wikimedia.org/wiki/File:Ver_qui_s'enfouit_cropped.webm	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	18.1	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'} | Bug education
garden:bug_honeybee:clip	Garden Explorer	video	bug_honeybee.ogv	Bee on crocus.ogv	https://commons.wikimedia.org/wiki/File:Bee_on_crocus.ogv	Wikimedia Commons contributor	CC-BY-SA	CLEAR	0	19.1	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'} | Bug education
